Date,Campaign Message ID,Campaign Message Name,Send Date,Send Time,Total Recipients,Total Delivered,Total Opens,Unique Opens,Total Apple Privacy Opens,Unique Apple Privacy Opens,Open Rate,Total Clicks,Unique Clicks,Click Rate,Total Unsubscribes,Unique Unsubscribes,Spam Complaints,Bounces,Unsubscribe Rate,Bounce Rate,Spam Complaints Rate,Total Placed Order,Avg Placed Order,Unique Placed Order,Avg Unique Placed Order,Total Placed Order Value,Avg Placed Order Value,Placed Order Rate,Revenue Per Recipient (RPR),Tags,Subject,Preview Text,List,Excluded List,Day of Week,Campaign Message Channel,Region
Sep 22 2025 - Mar 22 2026,01KKMG88X4PHD5QVDJ1H906QAE,20260322_US_EN_Retail__Targeted_Event_SpringEvent_EarlyAccess____Other_RFNAPreview,3/22/2026,3:00 PM,"33,417","33,328","11,525","10,448","10,092","9,276",31.35%,168,128,0.38%,3,3,0,89,0.01%,0.27%,0.00%,1,1.00,1,1,309.00,309.00,0.00%,0.01,"US, US-SpringEvent-2026",VIP offer ends tomorrow,Up to 35% off in stores. Last chance.,"202603022_SpringEventRFNAEA, EmailTeam_SeedList",US_Mainline_Employees,Sunday,Email,US
Sep 22 2025 - Mar 22 2026,01KM0VC4298RFA7KYSC2NVW8YV,20260322_US_EN_Ecom_Mainline_Targeted_Event_SpringEvent_EarlyAccess__CrossCat__CRM,3/22/2026,10:00 AM,"539,050","537,565","249,262","215,121","210,337","186,707",40.02%,"18,390","12,888",2.40%,72,72,6,"1,485",0.01%,0.28%,0.00%,846,1.03,819,1,"362,965.25",429.04,0.15%,0.68,"US, US-CRM, US-SpringEvent-2026",VIP offer ends tomorrow,Up to 35% off,"US_20260321_Spring Event ECNA Early Access, EmailTeam_SeedList",,Sunday,Email,US
Sep 22 2025 - Mar 22 2026,01KM66WHYDGSXEY0SMZBQ9B69K,20260322_US_EN_Ecom_Mainline_Blast_FP__Product__Shoes_Miller_Balance,3/22/2026,9:00 AM,"3,551,805","3,538,078","1,520,724","1,358,091","1,331,047","1,207,076",38.39%,"18,134","11,299",0.32%,541,541,29,"13,727",0.02%,0.39%,0.00%,78,1.00,78,1,"17,766.80",227.78,0.00%,0.01,"US, US-Mainline, US-Shoes-Miller",The Miller sandal in lemon yellow,Spring's trending color,"US_Mainline_Masterlist, US_Mainline_Resellers, EmailTeam_SeedList","US_20260321_Spring Event ECNA Early Access, 202603016_SpringEventRFNAEA",Sunday,Email,US
Sep 22 2025 - Mar 22 2026,01KM5T04301HEPFT9PVQNFKNZ9,20260322_UK_EN_Ecom_Blast_FP_Product_Handbags_FullFile,3/22/2026,4:00 AM,"211,654","210,369","80,390","69,677","66,895","59,446",33.12%,"2,411","1,378",0.66%,46,46,1,"1,285",0.02%,0.61%,0.00%,2,1.00,2,1,962.50,481.25,0.00%,0.00,N/A,Spring sandals are here,Featuring Miller,"EU_SeedList, UK_Mainline_Masterlist",,Sunday,Email,UK
Sep 22 2025 - Mar 22 2026,01KM5T3PB2R6MMBY0FCR97GN48,20260322_EU_EN_Ecom_Blast_FP_Product_Handbags_FullFile,3/22/2026,3:00 AM,"72,793","72,455","28,003","24,029","21,569","19,049",33.16%,"1,182",821,1.13%,13,13,4,338,0.02%,0.46%,0.01%,3,1.00,3,1,974.60,324.87,0.00%,0.01,N/A,Spring sandals are here,Featuring Miller,"EU_Mainline_Masterlist, EU_SeedList",,Sunday,Email,EU
Sep 22 2025 - Mar 22 2026,01KM5T20QWQEMDCGVWNF41XASS,20260322_DE_DE_Ecom_Blast_FP_Product_Handbags_Fullfile,3/22/2026,3:00 AM,"58,772","58,577","23,437","19,841","19,007","16,423",33.87%,"1,070",739,1.26%,16,16,2,195,0.03%,0.33%,0.00%,2,1.00,2,1,777.44,388.72,0.00%,0.01,N/A,Die neuen Frühlingssandalen sind eingetroffen,Darunter Miller,"DE_Mainline_Masterlist, EU_SeedList",,Sunday,Email,DE
Sep 22 2025 - Mar 22 2026,01KM65S86XMZAYXGGPE6JWX5W9,20260321_US_EN_Ecom_Mainline_Blast_FP__Product__Handbags__Balance,3/21/2026,9:12 AM,"3,559,140","3,544,651","1,686,536","1,475,231","1,490,887","1,324,054",41.62%,"19,380","13,819",0.39%,479,479,52,"14,489",0.01%,0.41%,0.00%,67,1.05,64,1,"21,571.20",321.96,0.00%,0.01,"US, US-Mainline, US-Handbags",The trend: dark denim,Featuring Fleming,"US_Mainline_Masterlist, US_Mainline_Resellers, EmailTeam_SeedList",US_20260321_Spring Event ECNA Early Access,Saturday,Email,US
Sep 22 2025 - Mar 22 2026,01KM0S8G23RHV4HNRGZWAN7BKW,20260321_US_EN_Ecom_Mainline_Targeted_Event_SpringEvent_EarlyAccess__CrossCat__CRM,3/21/2026,9:00 AM,"539,384","537,801","282,608","235,261","239,234","206,022",43.75%,"25,358","16,820",3.13%,65,65,9,"1,583",0.01%,0.29%,0.00%,"1,546",1.08,"1,432",1,"686,899.10",444.31,0.27%,1.28,"US, US-CRM",VIP EXCLUSIVE: up to 35% off,Early access to Spring Event: 3 days only,"US_20260321_Spring Event ECNA Early Access, EmailTeam_SeedList",,Saturday,Email,US
Sep 22 2025 - Mar 22 2026,01KKG6Z5MX9VYG4B29XG9MQ474,20260321_JP_JP_Ecom_Mainline_Blast_FP___Product_Edit_FTW__,3/20/2026,11:30 PM,"248,229","247,805","112,555","102,533","95,873","89,107",41.38%,"1,499","1,130",0.46%,54,54,0,424,0.02%,0.17%,0.00%,7,1.00,7,1,"236,985.00","33,855.00",0.00%,0.96,JP,足元にモードなニュアンスを。新作シューズコレクション,サンダルやメリージェーン。新作シューズをご紹介,"JP_Seedlist, JP_Mainline_Masterlist",JP_OldFukuokaIwataya_Retail_052125,Friday,Email,JP
Sep 22 2025 - Mar 22 2026,01KM3VRT4NPZKGJVG39EYFVYE5,20260320_US_EN_Ecom_Mainline_Targeted_FP__Product__RTW__Other_RTWHighAurAffinity,3/20/2026,9:30 AM,"610,027","607,710","310,922","258,300","261,372","222,880",42.50%,"7,063","5,182",0.85%,91,91,13,"2,317",0.02%,0.38%,0.00%,170,1.16,147,1,"144,579.20",850.47,0.02%,0.24,"US, US-Mainline, US-RTW",Classic weekend style gets an upgrade,"Denim, tees, sneakers","US_Mainline_HighAur_RTWAffinity, EmailTeam_SeedList",,Friday,Email,US
