Date,Flow ID,Flow Name,Message ID,Message Name,Message Channel,Status,Total Recipients,Total Delivered,Unique Opens,Unique Clicks,Unique Unsubscribes,Bounces,Total Opens,Total Apple Privacy Opens,Unique Apple Privacy Opens,Open Rate,Total Clicks,Click Rate,Total Unsubscribes,Spam Complaints,Unsubscribe Rate,Bounce Rate,Spam Complaints Rate,Total Placed Order,Avg Placed Order,Unique Placed Order,Avg Unique Placed Order,Total Placed Order Value,Avg Placed Order Value,Placed Order Rate,Revenue Per Recipient (RPR),Tags,Message Status,Region,Persona
Sep 20 2025 - Mar 20 2026,TYQD9Q,AU_Birthday,RzpH2J,AU_Trigger_Marketing_Birthday,Email,Live,"10,179","9,953","5,023",429,18,226,"7,367","4,870","3,536",50.47%,545,4.31%,18,4,0.18%,2.22%,0.04%,0,0.00,0,0,0.00,0.00,0.00%,0.00,"Marketing, APAC, AU",live,AU,#N/A
Sep 20 2025 - Mar 20 2026,XXScgM,AU_Onboarding,TKZnDc,AU_Trigger_Marketing_Onboarding_J1,Email,Live,"6,082","5,859","4,266","1,162",72,223,"8,189","3,188","2,287",72.81%,"1,793",19.83%,72,2,1.23%,3.67%,0.03%,8,1.33,6,1,"3,123.60",390.45,0.10%,0.53,"Marketing, APAC, AU",live,AU,#N/A
Sep 20 2025 - Mar 20 2026,RKczf6,CA_AbandonBrowse,Vfr5UE,CA_Trigger_Marketing_Abandon_Browse_Touch1,Email,Live,"66,392","66,156","23,306","4,715",37,236,"68,609","43,910","16,479",35.23%,"8,063",7.13%,37,9,0.06%,0.36%,0.01%,58,1.09,53,1,"16,305.75",281.13,0.08%,0.25,"Marketing, CA",live,CA,#N/A
Sep 20 2025 - Mar 20 2026,RKczf6,CA_AbandonBrowse,Vk4kg4,CA_Trigger_Marketing_Abandon_Browse_Touch1-Sale,Email,Live,"53,234","53,116","19,942","5,688",33,118,"52,496","32,760","13,965",37.54%,"11,372",10.71%,33,17,0.06%,0.22%,0.03%,73,1.14,64,1,"21,417.65",293.39,0.12%,0.40,"Marketing, CA",live,CA,#N/A
Sep 20 2025 - Mar 20 2026,RKczf6,CA_AbandonBrowse,V8PBum,CA_Trigger_Marketing_Abandon_Browse_Touch2,Email,Live,863,859,464,58,1,4,742,517,351,54.02%,70,6.75%,1,0,0.12%,0.46%,0.00%,2,2.00,1,1,743.00,371.50,0.12%,0.86,"Marketing, CA",live,CA,#N/A
Sep 20 2025 - Mar 20 2026,RKczf6,CA_AbandonBrowse,VxV79H,CA_Trigger_Marketing_Abandon_Browse_Touch2-Crossbody,Email,Live,"15,490","15,446","7,128","1,140",14,44,"14,279","9,444","5,166",46.15%,"1,871",7.38%,14,1,0.09%,0.28%,0.01%,2,2.00,1,1,553.00,276.50,0.01%,0.04,"Marketing, CA",live,CA,#N/A
Sep 20 2025 - Mar 20 2026,RKczf6,CA_AbandonBrowse,YdfNiZ,CA_Trigger_Marketing_Abandon_Browse_Touch2-Flats,Email,Live,"8,851","8,829","4,233",563,2,22,"8,692","5,918","3,126",47.94%,961,6.38%,2,0,0.02%,0.25%,0.00%,7,1.00,7,1,"1,098.25",156.89,0.08%,0.12,"Marketing, CA",live,CA,#N/A
Sep 20 2025 - Mar 20 2026,RKczf6,CA_AbandonBrowse,RSs5Mm,CA_Trigger_Marketing_Abandon_Browse_Touch2-MiniBags,Email,Live,"5,577","5,566","2,853",539,9,11,"5,150","3,177","1,968",51.26%,900,9.68%,9,0,0.16%,0.20%,0.00%,4,1.00,4,1,"1,714.00",428.50,0.07%,0.31,"Marketing, CA",live,CA,#N/A
Sep 20 2025 - Mar 20 2026,RKczf6,CA_AbandonBrowse,ThJFHp,CA_Trigger_Marketing_Abandon_Browse_Touch2-Sandals,Email,Live,"13,206","13,157","5,716",790,9,49,"12,048","7,970","4,148",43.45%,"1,337",6.00%,9,1,0.07%,0.37%,0.01%,6,1.00,6,1,"1,242.25",207.04,0.05%,0.09,"Marketing, CA",live,CA,#N/A
Sep 20 2025 - Mar 20 2026,RKczf6,CA_AbandonBrowse,WCGFGb,CA_Trigger_Marketing_Abandon_Browse_Touch2-ShoulderBags,Email,Live,"22,368","22,307","9,715","1,800",18,61,"20,730","13,514","6,944",43.55%,"3,074",8.07%,18,1,0.08%,0.27%,0.00%,8,1.14,7,1,"3,504.00",438.00,0.03%,0.16,"Marketing, CA",live,CA,#N/A
Sep 20 2025 - Mar 20 2026,RKczf6,CA_AbandonBrowse,WkcEt8,CA_Trigger_Marketing_Abandon_Browse_Touch2-Sneakers,Email,Live,"3,163","3,153","1,508",252,1,10,"2,886","1,911","1,107",47.83%,434,7.99%,1,1,0.03%,0.32%,0.03%,3,1.00,3,1,453.00,151.00,0.10%,0.14,"Marketing, CA",live,CA,#N/A
Sep 20 2025 - Mar 20 2026,RKczf6,CA_AbandonBrowse,RqFxRw,CA_Trigger_Marketing_Abandon_Browse_Touch2-Totes,Email,Live,"14,185","14,137","6,583",960,14,48,"13,114","8,709","4,759",46.57%,"1,598",6.79%,14,1,0.10%,0.34%,0.01%,5,1.00,5,1,"1,091.00",218.20,0.04%,0.08,"Marketing, CA",live,CA,#N/A
Sep 20 2025 - Mar 20 2026,YiXZzy,CA_AbandonCart,Tu69jk,CA_Trigger_Marketing_Abandon_Cart_Touch1,Email,Live,"13,792","13,739","6,992","1,247",14,53,"13,766","8,794","4,935",50.89%,"1,963",9.08%,14,2,0.10%,0.38%,0.02%,18,1.00,18,1,"6,876.00",382.00,0.13%,0.50,"Marketing, CA",live,CA,#N/A
Sep 20 2025 - Mar 20 2026,YiXZzy,CA_AbandonCart,SiFiru,CA_Trigger_Marketing_Abandon_Cart_Touch1-Sale,Email,Live,"22,369","22,321","10,077","2,786",9,48,"23,208","13,712","6,741",45.15%,"5,294",12.48%,9,9,0.04%,0.22%,0.04%,47,1.09,43,1,"12,203.75",259.65,0.19%,0.55,"Marketing, CA",live,CA,#N/A
Sep 20 2025 - Mar 20 2026,YiXZzy,CA_AbandonCart,SR56GH,CA_Trigger_Marketing_Abandon_Cart_Touch2,Email,Live,"35,805","35,703","14,694","3,052",34,102,"34,876","21,766","10,143",41.16%,"5,455",8.55%,34,3,0.10%,0.29%,0.01%,54,1.17,46,1,"21,727.39",402.36,0.13%,0.61,"Marketing, CA",live,CA,#N/A
Sep 20 2025 - Mar 20 2026,TYQJ6Q,CA_LowInventory,RsShth,CA_Trigger_Marketing_LowInventory,Email,Live,"18,989","18,925","7,433","1,736",16,64,"17,255","10,796","5,089",39.28%,"2,856",9.17%,16,1,0.09%,0.34%,0.01%,15,1.07,14,1,"4,736.65",315.78,0.07%,0.25,"Marketing, CA",live,CA,#N/A
Sep 20 2025 - Mar 20 2026,WTDsCf,CA_Onboarding,SFLCYE,CA_Trigger_Marketing_Onboarding_J1,Email,Live,"26,425","25,557","16,272","3,498",93,868,"28,727","14,442","9,982",63.67%,"5,519",13.69%,93,5,0.36%,3.29%,0.02%,32,1.07,30,1,"16,332.67",510.40,0.12%,0.64,"Marketing, CA, Onboarding",live,CA,#N/A
Sep 20 2025 - Mar 20 2026,WTDsCf,CA_Onboarding,UVX4qY,CA_Trigger_Marketing_Onboarding_J2,Email,Live,"24,199","24,028","11,920","1,439",82,171,"17,120","11,231","8,397",49.61%,"2,026",5.99%,82,8,0.34%,0.71%,0.03%,4,1.00,4,1,"1,485.83",371.46,0.02%,0.06,"Marketing, CA, Onboarding",live,CA,#N/A
