Date,Group Id,List/Segment,Total Recipients,Total Delivered,Total Opens,Unique Opens,Total Apple Privacy Opens,Unique Apple Privacy Opens,Open Rate,Total Clicks,Unique Clicks,Click Rate,Total Unsubscribes,Unique Unsubscribes,Spam Complaints,Bounces,Unsubscribe Rate,Bounce Rate,Spam Complaints Rate,Total Placed Order,Avg Placed Order,Unique Placed Order,Avg Unique Placed Order,Total Placed Order Value,Avg Placed Order Value,Placed Order Rate,Revenue Per Recipient (RPR),Campaign Message Channel,Region,Persona,Persona Confidence
Dec 20 2025 - Mar 20 2026,QNEfRV,US_Trigger_Marketing_Birthday_RONA_Feb2026,"7,828","7,804","5,967","4,064","4,733","3,434",52.08%,190,133,1.70%,1,1,2,24,0.01%,0.31%,0.03%,2,2.00,1,1,635.00,317.50,0.01%,0.08,Email,US,Jill,50%
Dec 20 2025 - Mar 20 2026,QYTqsR,UK_Trigger_Marketing_BounceBack_Feb2026_Control,"4,068","4,059","3,240","2,199","2,377","1,723",54.18%,387,273,6.73%,2,2,0,9,0.05%,0.22%,0.00%,4,1.00,4,1,641.88,160.47,0.10%,0.16,Email,UK,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,QZLT8t,HK_SeedList,126,117,89,66,57,53,56.41%,2,2,1.71%,0,0,0,9,0.00%,7.14%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,Email,HK,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,R6aSTf,IT_Trigger_Marketing_Birthday_Feb2026_Reminder,334,332,279,181,206,146,54.52%,25,18,5.42%,0,0,0,2,0.00%,0.60%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,Email,IT,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,R8Uagg,JP_AbenoKintetsu_Retail_122325,"11,564","11,522","7,151","5,838","5,601","4,741",50.67%,174,109,0.95%,2,2,0,42,0.02%,0.36%,0.00%,1,1.00,1,1,517.00,517.00,0.01%,0.04,Email,JP,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,R9K4mM,CAN_Mainline_Outlet,"47,664","47,540","27,288","19,977","22,301","16,694",42.02%,715,461,0.97%,10,10,1,124,0.02%,0.26%,0.00%,1,1.00,1,1,266.00,266.00,0.00%,0.01,Email,Other,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,R9np8u,FR_Trigger_Marketing_Birthday_Feb2026_Reminder,285,283,232,145,150,104,51.24%,22,16,5.65%,0,0,0,2,0.00%,0.70%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,Email,FR,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,RDCrfJ,CA_Trigger_Marketing_Birthday_Feb2026_Reminder,931,929,847,528,641,433,56.84%,85,68,7.32%,0,0,0,2,0.00%,0.22%,0.00%,1,1.00,1,1,164.00,164.00,0.11%,0.18,Email,CA,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,RDGta3,EU_Trigger_Marketing_BounceBack_Feb2026_Test,"1,302","1,302","1,151",767,744,535,58.91%,218,125,9.60%,0,0,0,0,0.00%,0.00%,0.00%,4,1.00,4,1,"1,422.62",355.66,0.31%,1.09,Email,EU,#N/A,#N/A
Dec 20 2025 - Mar 20 2026,REhJG2,US_Mainline_PalmBeach_15mi,"10,618","10,588","6,740","4,870","5,575","4,113",46.00%,74,58,0.55%,1,1,0,30,0.01%,0.28%,0.00%,2,1.00,2,1,750.00,375.00,0.02%,0.07,Email,US,Jill,25%
